GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Population","Percent","Percent of Children of Immigrants",0,"Denver-Aurora-Lakewood, CO",19740,.00925173,.00921406,.00963322,.00940201,.00922689,.00944631,.00940951,.00969143,.00977072,.00974455
"Population","Percent","Percent of Children of Immigrants",0,"Des Moines-West Des Moines, IA",19780,.00087516,.00097632,.00107701,.00110955,.0011462,.00119502,.00112689,.00128105,.00155443,.00148646
"Population","Percent","Percent of Children of Immigrants",0,"Detroit-Warren-Dearborn, MI",19820,.01018941,.01000732,.00975289,.00934361,.00905496,.00904797,.00957854,.01008132,.0100483,.01001982
"Population","Percent","Percent of Children of Immigrants",0,"El Paso, TX",21340,.00737638,.00695631,.0069407,.00659893,.00641871,.00660104,.00631057,.00595967,.00582912,.00556045
"Population","Percent","Percent of Children of Immigrants",0,"Fresno, CA",23420,.00756392,.00732243,.00688087,.00683252,.00704911,.00705628,.0069867,.00685084,.00666186,.00671658
"Population","Percent","Percent of Children of Immigrants",0,"Grand Rapids-Wyoming, MI",24340,.00175033,.00183061,.00179501,.00163513,.00160468,.00176407,.00185936,.00183803,.00194304,.00181678
"Population","Percent","Percent of Children of Immigrants",0,"Greensboro-High Point, NC",24660,.00143777,.00140347,.00155568,.00151834,.00160468,.00159335,.00180302,.00194943,.00194304,.00187183
"Population","Percent","Percent of Children of Immigrants",0,"Greenville-Anderson-Mauldin, SC",24860,.00100019,.00109836,.00101717,.00128475,.00143275,.00125192,.00118323,.00122535,.00122134,.00132129
"Population","Percent","Percent of Children of Immigrants",0,"Harrisburg-Carlisle, PA",25420,.00050009,.00054918,.0005385,.00058398,.0005731,.00056905,.00067613,.00077977,.00088825,.0007157
"Population","Percent","Percent of Children of Immigrants",0,"Hartford-West Hartford-East Hartford, CT",25540,.00281303,.00298999,.00281218,.00297828,.00309473,.00301599,.00292991,.00311908,.00299783,.00280775
"Population","Percent","Percent of Children of Immigrants",0,"Houston-The Woodlands-Sugar Land, TX",26420,.03663187,.03697828,.03757554,.03877599,.03954381,.04000455,.03994816,.0397683,.04024871,.04145563
"Population","Percent","Percent of Children of Immigrants",0,"Indianapolis-Carmel-Anderson, IN",26900,.00231293,.00256285,.00293185,.00297828,.00303742,.00318671,.00326797,.00323048,.00355299,.00368861
"Population","Percent","Percent of Children of Immigrants",0,"Jackson, MS",27140,.00025005,,,.00029199,.00028655,,,.00027849,.00027758,.00027527
"Population","Percent","Percent of Children of Immigrants",0,"Jacksonville, FL",27260,.00225042,.00219673,.00221385,.0025111,.00257894,.00239003,.00236646,.0026178,.00260923,.00258754
"Population","Percent","Percent of Children of Immigrants",0,"Kansas City, MO-KS",28140,.00306307,.00317305,.00341052,.00338706,.00326666,.00358505,.00360604,.00367606,.00399711,.00390883
"Population","Percent","Percent of Children of Immigrants",0,"Knoxville, TN",28940,.00050009,.0006102,.00065817,.00064237,.00080234,.00091049,.00084517,.00077977,.00077722,.00088086
"Population","Percent","Percent of Children of Immigrants",0,"Lakeland-Winter Haven, FL",29460,.00150028,.00152551,.00161551,.00175193,.00183392,.00176407,.00174668,.00155954,.00155443,.00165162
"Population","Percent","Percent of Children of Immigrants",0,"Las Vegas-Henderson-Paradise, NV",29820,.01056448,.01159385,.0119069,.01156272,.01146198,.011438,.01115619,.01108388,.01115861,.01095574
"Population","Percent","Percent of Children of Immigrants",0,"Little Rock-North Little Rock-Conway, AR",30780,.00062512,.00073224,.0008975,.00087596,.00074503,.00073977,.00073248,.00072407,.00077722,.00082581
"Population","Percent","Percent of Children of Immigrants",0,"Los Angeles-Long Beach-Anaheim, CA",31080,.13027443,.12405419,.11865015,.11387526,.10848759,.10419393,.10237774,.09997772,.09676345,.09425237
