GROUPCODE,STATCODE,statid,statistics_label,STAT,ISSTATE,StateName,StateCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Tennessee","TN",.27184257,.33428282,.36866274,.37244636,.35594347,.34112099,.34945267,.37732503,.38597488,.40096906
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Texas","TX",.356525,.37079304,.3802295,.39165574,.39737576,.39653498,.4002023,.40399659,.40404812,.39273468
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"United States","US",.30033991,.31083423,.31643876,.32350481,.32719749,.32719755,.32607222,.32277232,.32216391,.31987312
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Utah","UT",.3125675,.32152286,.32335058,.3197073,.33924526,.38142267,.36037636,.32188788,.31534222,.35177466
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Vermont","VT",.12386889,.12480024,.15715364,.14671324,.09943906,.07601362,.09729998,.12424667,.16568047,.16845538
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Virginia","VA",.2420059,.2373115,.24096175,.24972609,.24782759,.26445231,.25940189,.24540915,.25744504,.25609249
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Washington","WA",.27038786,.27982974,.2827718,.28872585,.30298066,.30773601,.30348274,.30574688,.31457403,.31088698
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"West Virginia","WV",.20109689,.12897678,.11184373,.1121778,.15161031,.18347523,.11620995,.16942918,.20709945,.117065
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Wisconsin","WI",.27063364,.28133935,.26665038,.27236971,.29556438,.2973077,.31841326,.33463523,.32543603,.3046667
"Citizenship","citNotCitPar",76,"Citizen children with noncitizen parents","Who are citizens with non-citizen parents",1,"Wyoming","WY",.20350784,.2318152,.30289513,.27760869,.26375458,.31948167,.27306074,.23136005,.29082733,.42360315
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Alabama","AL",.2365779,.19093984,.17025281,.15397519,.17184626,.17341089,.13458531,.10733871,.09720173,.09801472
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Alaska","AK",.08415136,.07150941,.0536617,.0807192,.0780462,.0839926,.1453069,.12817839,.10589452,.07082186
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Arizona","AZ",.17564724,.16444935,.15278555,.12677217,.11149558,.10832597,.09602879,.0841018,.09069498,.08838031
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Arkansas","AR",.17075451,.16202496,.1465987,.11726859,.14606939,.16075958,.13578191,.11606088,.10831065,.11066177
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"California","CA",.11365257,.1068483,.10186478,.0969924,.09541877,.09238307,.08478887,.07906807,.07687816,.07469399
"Citizenship","notCit",42,"Noncitizen","Who are not citizens",1,"Colorado","CO",.17813802,.17361881,.15332112,.12929881,.11301142,.11448515,.10936303,.10389914,.09181112,.08491497
