GROUPCODE,STATCODE,STAT,ISSTATE,MetroName,MetroCode,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Worcester, MA-CT",49340,.6126012,.6354974,.6492867,.6095558,.6395084,.6664891,.6963736,.6979445,.67608374
"Citizenship","citCitPar","Who are citizens with citizen parents",0,"Youngstown-Warren-Boardman, OH-PA",49660,-97,-97,-97,-97,-97,-97,-97,-97,-97
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Akron, OH",10420,.1154516,.1035302,.1525389,.1962675,.1338946,.1410222,.242933,.2983006,.23450069
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Albany-Schenectady-Troy, NY",10580,.1772134,.2228507,.1514109,.1224376,.1652566,.1671558,.1739091,.1574957,.18627585
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Albuquerque, NM",10740,.3212068,.3404467,.3592706,.4067234,.3619365,.3789669,.426547,.4097045,.4159303
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Allentown-Bethlehem-Easton, PA-NJ",10900,.1501441,.1758355,.1523519,.1504362,.1955216,.1858861,.13913,.1301449,.16404419
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Atlanta-Sandy Springs-Roswell, GA",12060,.3258005,.3419919,.3534763,.3606667,.36157,.350405,.3530871,.3750749,.38093406
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Augusta-Richmond County, GA-SC",12260,.179062,.2354318,.2890235,.2554338,.2341273,.2041112,.2006553,.2631025,.29202217
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Austin-Round Rock, TX",12420,.3736485,.3843979,.3829204,.4219911,.478583,.4745538,.438166,.4088837,.40623629
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Bakersfield, CA",12540,.4637174,.4612439,.4476707,.4815975,.4836529,.4316627,.4258749,.454379,.46452078
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Baltimore-Columbia-Towson, MD",12580,.1401359,.1601081,.1641337,.1853272,.1947721,.1984148,.2462525,.2517037,.21668729
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Baton Rouge, LA",12940,.1587633,.1418031,.2210365,.2679517,.1974916,.3066252,.3391503,.1872817,.26388448
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Birmingham-Hoover, AL",13820,.2839958,.3346401,.3491674,.3136488,.3639716,.3870016,.3207458,.3605005,.47643852
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Boise City, ID",14260,.2110059,.2460135,.2664609,.297956,.3400073,.4036963,.4001672,.3556216,.33713984
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Boston-Cambridge-Newton, MA-NH",14460,.2442515,.2345945,.2373794,.2345995,.2421338,.2290977,.2146996,.2350971,.24074849
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Bridgeport-Stamford-Norwalk, CT",14860,.1993754,.2532996,.2791258,.2825426,.2615358,.2673946,.2759064,.2580603,.2821534
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,.090315,.1351033,.1257679,.1472978,.1866459,.1776855,.1407844,.1215288,.13969661
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Cape Coral-Fort Myers, FL",15980,.3834486,.3279041,.3231014,.3111875,.3571409,.3769785,.3422238,.3150186,.33002645
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Charleston-North Charleston, SC",16700,.2151952,.1841748,.279391,.3746527,.4097803,.3609779,.3414472,.4216714,.40436432
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Charlotte-Concord-Gastonia, NC-SC",16740,.389984,.3938934,.3907645,.3801192,.3927764,.4214867,.4177311,.4122449,.41211796
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Chattanooga, TN-GA",16860,.1152707,.2190214,.2894875,.3662599,.4432468,.3532272,.345546,.4833311,.37887511
"Citizenship","citNotCitPar","Who are citizens with non-citizen parents",0,"Chicago-Naperville-Elgin, IL-IN-WI",16980,.3019608,.3131639,.3205191,.3417066,.355726,.3512399,.3487596,.3548135,.34659868
